lfc,names,ambiguousNames
SPDX,"[""MulanPSL-2.0"",""Mulan Permissive Software License, Version 2""]",[]
SPDX,"[""Multics"",""Multics License""]",[]
SPDX,"[""Mup"",""Mup License""]",[]
SPDX,"[""NASA-1.3"",""NASA Open Source Agreement 1.3""]",[]
SPDX,"[""NBPL-1.0"",""Net Boolean Public License v1""]",[]
SPDX,"[""NCGL-UK-2.0"",""Non-Commercial Government Licence""]",[]
SPDX,"[""NCSA"",""University of Illinois/NCSA Open Source License""]",[]
SPDX,"[""NGPL"",""Nethack General Public License""]",[]
SPDX,"[""NIST-PD"",""NIST Public Domain Notice""]",[]
SPDX,"[""NIST-PD-fallback"",""NIST Public Domain Notice with license fallback""]",[]
SPDX,"[""NLOD-1.0"",""Norwegian Licence for Open Government Data""]",[]
SPDX,"[""NLPL"",""No Limit Public License""]",[]
SPDX,"[""NOSL"",""Netizen Open Source License""]",[]
SPDX,"[""NPL-1.0"",""Netscape Public License v1.0""]",[]
SPDX,"[""NPL-1.1"",""Netscape Public License v1.1""]",[]
SPDX,"[""NPOSL-3.0"",""Non-Profit Open Software License 3.0""]",[]
SPDX,"[""NRL"",""NRL License""]",[]
SPDX,"[""NTP"",""NTP License""]",[]
SPDX,"[""NTP-0"",""NTP No Attribution""]",[]
SPDX,"[""Naumen"",""Naumen Public License""]",[]
SPDX,"[""Net-SNMP"",""Net-SNMP License""]",[]
SPDX,"[""NetCDF"",""NetCDF license""]",[]
SPDX,"[""Newsletr"",""Newsletr License""]",[]
SPDX,"[""Nokia"",""Nokia Open Source License""]",[]
SPDX,"[""Noweb"",""Noweb License""]",[]
SPDX,"[""O-UDA-1.0"",""Open Use of Data Agreement v1.0""]",[]
SPDX,"[""OCCT-PL"",""Open CASCADE Technology Public License""]",[]
SPDX,"[""OCLC-2.0"",""OCLC Research Public License 2.0""]",[]
SPDX,"[""ODC-By-1.0"",""Open Data Commons Attribution License v1.0""]",[]
SPDX,"[""ODbL-1.0"",""ODC Open Database License v1.0""]",[]
SPDX,"[""OFL-1.0"",""SIL Open Font License 1.0""]",[]
SPDX,"[""OFL-1.0-RFN"",""SIL Open Font License 1.0 with Reserved Font Name""]",[]
SPDX,"[""OFL-1.0-no-RFN"",""SIL Open Font License 1.0 with no Reserved Font Name""]",[]
SPDX,"[""OFL-1.1"",""SIL Open Font License 1.1""]",[]
SPDX,"[""OFL-1.1-RFN"",""SIL Open Font License 1.1 with Reserved Font Name""]",[]
SPDX,"[""OFL-1.1-no-RFN"",""SIL Open Font License 1.1 with no Reserved Font Name""]",[]
SPDX,"[""OGC-1.0"",""OGC Software License, Version 1.0""]",[]
SPDX,"[""OGL-Canada-2.0"",""Open Government Licence - Canada""]",[]
SPDX,"[""OGL-UK-1.0"",""Open Government Licence v1.0""]",[]
SPDX,"[""OGL-UK-2.0"",""Open Government Licence v2.0""]",[]
SPDX,"[""OGL-UK-3.0"",""Open Government Licence v3.0""]",[]
SPDX,"[""OGTSL"",""Open Group Test Suite License""]",[]
SPDX,"[""OLDAP-1.1"",""Open LDAP Public License v1.1""]",[]
SPDX,"[""OLDAP-1.2"",""Open LDAP Public License v1.2""]",[]
SPDX,"[""OLDAP-1.3"",""Open LDAP Public License v1.3""]",[]
SPDX,"[""OLDAP-1.4"",""Open LDAP Public License v1.4""]",[]
SPDX,"[""OLDAP-2.0"",""Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B)""]",[]
SPDX,"[""OLDAP-2.0.1"",""Open LDAP Public License v2.0.1""]",[]
SPDX,"[""OLDAP-2.1"",""Open LDAP Public License v2.1""]",[]
SPDX,"[""OLDAP-2.2"",""Open LDAP Public License v2.2""]",[]
SPDX,"[""OLDAP-2.2.1"",""Open LDAP Public License v2.2.1""]",[]
SPDX,"[""OLDAP-2.2.2"",""Open LDAP Public License 2.2.2""]",[]
SPDX,"[""OLDAP-2.3"",""Open LDAP Public License v2.3""]",[]
SPDX,"[""OLDAP-2.4"",""Open LDAP Public License v2.4""]",[]
SPDX,"[""OLDAP-2.5"",""Open LDAP Public License v2.5""]",[]
SPDX,"[""OLDAP-2.6"",""Open LDAP Public License v2.6""]",[]
SPDX,"[""OLDAP-2.7"",""Open LDAP Public License v2.7""]",[]
SPDX,"[""OLDAP-2.8"",""Open LDAP Public License v2.8""]",[]
SPDX,"[""OML"",""Open Market License""]",[]
SPDX,"[""OPL-1.0"",""Open Public License v1.0""]",[]
SPDX,"[""OSET-PL-2.1"",""OSET Public License version 2.1""]",[]
