,,,,,,,,,,,,,,,,,,,,,,,,
"CC-BY-NC-ND-3.0","scancode://cc-by-nc-nd-3.0","Creative Commons Attribution-NoDerivs 3.0 Unported","Creative Comnons Attribution-NonCommercial-NoDerivs 3.0 Unported","Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported",,,,,,,,,,,,,,,,,,,,
"LGPL 2.0","LGPL-2.0-only","scancode://lgpl-2.0","GNU Library General Public License v2 only","GNU Library General Public License Version 2",,,,,,,,,,,,,,,,,,,,
"PostgreSQL","postgresql","PostgreSQL License","scancode://postgresql","The PostgreSQL Licence",,,,,,,,,,,,,,,,,,,,
"AFL 2.1","AFL-2.1","scancode://afl-2.1","Academic Free License v2.1","Academic Free License Version 2.1",,,,,,,,,,,,,,,,,,,,
"bzip2-1.0.6","The bzip2 license","bzip2 License 2010","scancode://bzip2-libbzip-2010","bzip2 and libbzip2 License v1.0.6",,,,,,,,,,,,,,,,,,,,
"JasPer 2.0","JasPer-2.0","JasPer License","scancode://jasper-2.0","JasPer License Version 2.0",,,,,,,,,,,,,,,,,,,,
"Libpng","Libpng License","libpng License","scancode://libpng","libpng license (libpng-1.2.6 and later)",,,,,,,,,,,,,,,,,,,,
"MIT-CMU","CMU License","scancode://cmu-uc","CMU UC Regents License","scancode://cmu-template",,,,,,,,,,,,,,,,,,,,
"OLDAP-2.7","scancode://openldap-2.7","OpenLDAP Public License 2.7","The OpenLDAP Public License","Open LDAP Public License v2.7",,,,,,,,,,,,,,,,,,,,
"PHP-3.01","PHP License 3.01","PHP License v3.01","scancode://php-3.01","PHP License, version 3.01",,,,,,,,,,,,,,,,,,,,
"Ruby","Ruby License","scancode://ruby","Ruby License (1.9.3 and later)","Ruby License (1.9.2 and earlier)",,,,,,,,,,,,,,,,,,,,
"SGI-B-2.0","scancode://sgi-freeb-2.0","SGI Free Software License B 2.0","SGI Free Software License B v2.0","SGI FREE SOFTWARE LICENSE B (Version 2.0, Sept. 18, 2008)",,,,,,,,,,,,,,,,,,,,
"Unicode DFS 2015","Unicode-DFS-2015","scancode://unicode-dfs-2015","Unicode License Agreement - Data Files and Software (2015)","UNICODE, INC. LICENSE AGREEMENT - DATA FILES AND SOFTWARE (since 2016)",,,,,,,,,,,,,,,,,,,,
"Unicode DFS 2016","Unicode-DFS-2016","scancode://unicode-dfs-2016","UNICODE, INC. LICENSE AGREEMENT - DATA FILES AND SOFTWARE","Unicode License Agreement - Data Files and Software (2016)",,,,,,,,,,,,,,,,,,,,
"Unlicense","unlicense","Unlicense 1","The Unlicense","scancode://unlicense",,,,,,,,,,,,,,,,,,,,
"ZPL 2.1","ZPL-2.1","scancode://zpl-2.1","Zope Public License 2.1","Zope Public License (ZPL) Version 2.1",,,,,,,,,,,,,,,,,,,,
"AAL","scancode://attribution","Attribution Assurance License","Attribution Assurance Licenses","License :: OSI Approved :: Attribution Assurance License",,,,,,,,,,,,,,,,,,,,
"Beerware","Beerware 42","Beerware License","Beer-Ware License","scancode://beerware",,,,,,,,,,,,,,,,,,,,
"EFL 1.0","EFL-1.0","scancode://efl-1.0","Eiffel Forum License v1.0","The Eiffel Forum License, Version 1",,,,,,,,,,,,,,,,,,,,
"IJG","IJG License","JPEG License","scancode://ijg","Independent JPEG Group License",,,,,,,,,,,,,,,,,,,,
"LPL-1.02","scancode://lucent-pl-1.02","Lucent Public License 1.02","Lucent Public License v1.02","Lucent Public License, Version 1.02",,,,,,,,,,,,,,,,,,,,
"OGTSL","scancode://opengroup","Open Group Test Suite License","The Open Group Test Suite License (OGTSL)","License :: OSI Approved :: Open Group Test Suite License",,,,,,,,,,,,,,,,,,,,
"RSA-MD","RSA-MD5 License","scancode://rsa-md5","RSA Message-Digest License","RSA Message-Digest License ",,,,,,,,,,,,,,,,,,,,
"W3C-19980720","W3C-SOFTWARE-19980720","scancode://w3c-software-19980720","W3C Software Notice and License (1998-07-20)","W3C SOFTWARE NOTICE AND LICENSE (became active on August 14 1998)",,,,,,,,,,,,,,,,,,,,
"W3C-20150513","W3C-SOFTWARE-DOC-20150513","scancode://w3c-software-doc-20150513","W3C Software Notice and Document License (2015-05-13)","W3C SOFTWARE AND DOCUMENT NOTICE AND LICENSE (become active on May 13, 2015)",,,,,,,,,,,,,,,,,,,,
"RPL 1.1","RPL-1.1","scancode://rpl-1.1","Reciprocal Public License 1.1","Reciprocal Public License, Version 1.1",,,,,,,,,,,,,,,,,,,,
"RPL 1.5","RPL-1.5","scancode://rpl-1.5","Reciprocal Public License 1.5","Reciprocal Public License, Version 1.5",,,,,,,,,,,,,,,,,,,,
"APSL 1.1","APSL-1.1","scancode://apsl-1.1","Apple Public Source License 1.1","APPLE PUBLIC SOURCE LICENSE, Version 1.1",,,,,,,,,,,,,,,,,,,,
"OSL 1.0","OSL-1.0","scancode://osl-1.0","Open Software License 1.0","Open Software License, Version 1.0",,,,,,,,,,,,,,,,,,,,
"OSL 2.1","OSL-2.1","scancode://osl-2.1","Open Software License 2.1","Open Software License, Version 2.1",,,,,,,,,,,,,,,,,,,,
"RPSL-1.0","scancode://rpsl-1.0","RealNetworks Public Source License 1.0","RealNetworks Public Source License v1.0","RealNetworks Public Source License, Version 1.0",,,,,,,,,,,,,,,,,,,,
"CC-BY-SA-1.0","scancode://cc-by-sa-1.0","Creative Commons ShareAlike 1.0 Generic","Creative Commons Attribution-ShareAlike 1.0 Generic","Creative Commons Attribution Share Alike 1.0 Generic",,,,,,,,,,,,,,,,,,,,
"CDDL 1.1","CDDL-1.1","scancode://cddl-1.1","Common Development and Distribution License 1.1","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE Version 1.1",,,,,,,,,,,,,,,,,,,,
"ErlPL-1.1","scancode://erlangpl-1.1","Erlang Public License 1.1","Erlang Public License v1.1","ERLANG PUBLIC LICENSE Version 1.1",,,,,,,,,,,,,,,,,,,,
"MS-RL","ms-rl","scancode://ms-rl","Microsoft Reciprocal License","Microsoft Reciprocal License (MS-RL)",,,,,,,,,,,,,,,,,,,,
"Vim","vim","VIM License","Vim License","scancode://vim",,,,,,,,,,,,,,,,,,,,
"OFL 1.0","OFL-1.0","scancode://ofl-1.0","SIL Open Font License 1.0","SIL OPEN FONT LICENSE Version 1.0 - 22 November 2005",,,,,,,,,,,,,,,,,,,,
"NGPL","scancode://ngpl","Nethack General Public License","The Nethack General Public License","License :: OSI Approved :: Nethack General Public License",,,,,,,,,,,,,,,,,,,,
"Watcom-1.0","Open Watcom 1.0","scancode://sybase","The Sybase Open Source Licence","Sybase Open Watcom Public License 1.0",,,,,,,,,,,,,,,,,,,,
"IPA","IPA Font License","scancode://ipa-font","IPA Font License 1.0","IPA Font License Agreement v1.0",,,,,,,,,,,,,,,,,,,,
